pitcher,team,salary,proj_pts,value_per_1k,imputed
Connor Prielipp,MIN,7100,17.2,2.42,-
Brady Singer,CIN,6500,14.2,2.18,ER/hit/bb/win
Jesus Luzardo,PHI,9600,20.9,2.18,-
Brandon Woodruff,MIL,8800,19.1,2.17,-
Gavin Williams,CLE,9400,20.0,2.13,-
Mitch Keller,PIT,6900,14.5,2.1,ER/hit/bb/win
Anthony Kay,CWS,7200,15.1,2.1,-
Jack Flaherty,DET,7300,15.2,2.08,-
Hunter Brown,HOU,10500,20.6,1.96,-
Drew Rasmussen,TB,10000,19.5,1.95,-
Merrill Kelly,ARI,6200,12.0,1.94,-
Luinder Avila,KC,5900,11.3,1.92,-
Emerson Hancock,SEA,7800,14.8,1.9,-
Ryan Feltner,COL,6300,11.6,1.84,-
Kumar Rocker,TEX,6500,11.8,1.82,-
Shane Bieber,TOR,8500,15.1,1.78,-
Kyle Bradish,BAL,9700,16.8,1.73,ER/hit/bb/win
Kyle Leahy,STL,7500,12.9,1.72,-
Tyler Phillips,MIA,6700,10.5,1.57,-
